"user.index","sugg.select.utime","sugg.select.slot","sugg.select.update","sugg.decision.utime","sugg.decision.slot","send","jbsteps10","jbsteps30","jbsteps40","jbsteps60","jbsteps90","jbsteps120"
1,2015-08-02 18:30:00,3,2015-07-29,2015-08-02 18:31:55,3,FALSE,115,249,301,301,301,845
1,2015-08-02 21:30:00,4,2015-07-29,2015-08-02 21:31:05,4,FALSE,18,358,424,652,1515,1820
1,2015-08-02 23:30:00,5,2015-07-29,2015-08-02 23:31:33,5,TRUE,188,279,487,831,831,958
1,2015-08-03 10:30:00,1,2015-08-03,2015-08-03 10:31:51,1,TRUE,411,611,627,709,1103,2034
1,2015-08-03 16:30:00,2,2015-08-03,2015-08-03 16:31:30,2,TRUE,0,0,0,37,67,361
1,2015-08-03 18:30:00,3,2015-08-03,2015-08-03 18:31:03,3,TRUE,0,0,79,1593,2457,2832
1,2015-08-03 21:30:00,4,2015-08-03,2015-08-03 21:31:30,4,TRUE,169,845,900,1192,2416,2416
1,2015-08-03 23:30:00,5,2015-08-03,2015-08-03 23:31:42,5,TRUE,0,857,1465,1812,2260,2260
1,2015-08-04 10:30:00,1,2015-08-03,2015-08-04 10:31:39,1,TRUE,183,456,557,624,1159,1652
1,2015-08-04 16:30:00,2,2015-08-03,2015-08-04 16:31:35,2,FALSE,278,303,303,303,1132,1147
1,2015-08-04 18:30:00,3,2015-08-03,2015-08-04 18:31:05,3,FALSE,0,0,0,220,935,935
1,2015-08-04 21:30:00,4,2015-08-03,2015-08-04 21:31:52,4,FALSE,199,390,465,542,804,1295
1,2015-08-05 10:30:00,1,2015-08-03,2015-08-05 10:31:20,1,FALSE,0,551,648,884,1555,1733
1,2015-08-05 16:30:00,2,2015-08-03,2015-08-05 16:31:54,2,FALSE,149,330,330,634,2909,3614
1,2015-08-05 18:30:00,3,2015-08-03,2015-08-05 18:32:19,3,TRUE,0,565,565,779,1537,1745
1,2015-08-05 21:30:00,4,2015-08-03,2015-08-05 21:31:30,4,FALSE,18,18,187,248,865,1484
1,2015-08-05 23:30:00,5,2015-08-03,2015-08-05 23:31:27,5,FALSE,613,1531,1770,2156,2845,3254
1,2015-08-06 10:30:00,1,2015-08-03,2015-08-06 10:31:51,1,FALSE,82,160,300,801,1143,1625
1,2015-08-06 16:30:00,2,2015-08-03,2015-08-06 16:32:13,2,TRUE,86,135,224,582,3145,3423
1,2015-08-06 18:30:00,3,2015-08-03,2015-08-06 18:31:54,3,FALSE,0,0,0,65,511,881
1,2015-08-06 21:30:00,4,2015-08-03,2015-08-06 21:31:30,4,TRUE,0,40,40,430,1145,1510
1,2015-08-06 23:30:00,5,2015-08-03,2015-08-06 23:31:49,5,TRUE,76,392,392,392,467,1944
1,2015-08-07 10:30:00,1,2015-08-03,2015-08-07 10:33:05,1,TRUE,0,498,564,770,770,1482
1,2015-08-07 16:30:00,2,2015-08-03,2015-08-07 16:31:41,2,TRUE,289,470,585,706,706,1206
1,2015-08-07 18:30:00,3,2015-08-03,2015-08-07 18:32:07,3,TRUE,147,147,147,554,781,1065
1,2015-08-07 21:30:00,4,2015-08-03,2015-08-07 21:32:18,4,TRUE,0,66,66,66,174,225
1,2015-08-07 23:30:00,5,2015-08-03,2015-08-07 23:31:50,5,TRUE,18,334,622,1005,1250,1433
1,2015-08-08 10:30:00,1,2015-08-03,2015-08-08 10:31:43,1,FALSE,0,0,99,158,218,1180
1,2015-08-08 16:30:00,2,2015-08-03,2015-08-08 16:31:09,2,TRUE,119,926,1420,2220,3378,4567
1,2015-08-08 18:30:00,3,2015-08-03,2015-08-08 18:31:27,3,TRUE,298,700,1065,1652,2023,3146
1,2015-08-08 21:30:00,4,2015-08-03,2015-08-08 21:32:12,4,TRUE,346,603,1195,1947,2624,3055
1,2015-08-08 23:30:00,5,2015-08-03,2015-08-08 23:33:15,5,FALSE,25,462,525,573,573,715
1,2015-08-09 10:30:00,1,2015-08-03,2015-08-09 10:31:52,1,TRUE,0,0,0,0,0,0
1,2015-08-09 16:30:00,2,2015-08-03,2015-08-09 16:31:30,2,FALSE,0,356,356,1238,1669,2038
1,2015-08-09 18:30:00,3,2015-08-03,2015-08-09 18:32:24,3,TRUE,46,46,46,240,1128,2483
1,2015-08-09 21:30:00,4,2015-08-03,2015-08-09 21:31:32,4,TRUE,160,997,1313,1957,2738,2956
1,2015-08-09 23:30:00,5,2015-08-03,2015-08-09 23:31:02,5,FALSE,128,453,609,673,860,1063
1,2015-08-10 10:30:00,1,2015-08-03,2015-08-10 10:32:11,1,TRUE,0,315,474,898,960,1476
1,2015-08-10 16:30:00,2,2015-08-03,2015-08-10 16:32:31,2,TRUE,368,604,604,604,604,604
1,2015-08-10 18:30:00,3,2015-08-03,2015-08-10 18:31:31,3,FALSE,0,184,345,443,877,1207
1,2015-08-10 21:30:00,4,2015-08-03,2015-08-10 21:31:50,4,FALSE,97,185,566,965,985,2364
1,2015-08-10 23:30:00,5,2015-08-03,2015-08-10 23:35:47,5,FALSE,224,667,758,816,847,847
1,2015-08-11 10:30:00,1,2015-08-03,2015-08-11 10:31:49,1,TRUE,62,364,414,559,1276,1380
1,2015-08-11 16:30:00,2,2015-08-03,2015-08-11 16:31:31,2,FALSE,505,578,578,578,672,672
1,2015-08-11 18:30:00,3,2015-08-03,2015-08-11 18:31:45,3,TRUE,0,0,0,338,932,1352
1,2015-08-11 21:30:00,4,2015-08-03,2015-08-11 21:31:30,4,FALSE,132,223,223,293,293,293
1,2015-08-11 23:30:00,5,2015-08-03,2015-08-11 23:35:20,5,FALSE,119,263,263,263,263,435
1,2015-08-12 10:30:00,1,2015-08-03,2015-08-12 10:31:23,1,TRUE,104,695,804,937,1060,1621
1,2015-08-12 16:30:00,2,2015-08-12,2015-08-12 16:32:06,2,TRUE,52,398,547,597,2657,3497
1,2015-08-12 18:30:00,3,2015-08-12,2015-08-12 18:32:07,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-12 23:30:00,5,2015-08-12,2015-08-12 23:30:56,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-13 10:30:00,1,2015-08-13,2015-08-13 10:31:43,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-13 16:30:00,2,2015-08-12,2015-08-13 16:31:39,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-13 18:30:00,3,2015-08-12,2015-08-13 18:33:46,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-13 21:30:00,4,2015-08-12,2015-08-13 21:31:30,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-13 23:30:00,5,2015-08-12,2015-08-13 23:31:31,5,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-14 10:30:00,1,2015-08-13,2015-08-14 10:32:26,1,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-14 16:30:00,2,2015-08-12,2015-08-14 16:31:31,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-14 18:30:00,3,2015-08-12,2015-08-14 18:32:06,3,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-14 21:30:00,4,2015-08-12,2015-08-14 21:31:52,4,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-14 23:30:00,5,2015-08-12,2015-08-14 23:31:00,5,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-15 10:30:00,1,2015-08-13,2015-08-15 10:32:00,1,FALSE,NA,NA,NA,NA,NA,NA
1,2015-08-15 16:30:00,2,2015-08-12,2015-08-15 16:31:14,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-15 18:30:00,3,2015-08-12,2015-08-15 18:31:46,3,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-15 21:30:00,4,2015-08-12,2015-08-15 21:31:40,4,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-15 23:30:00,5,2015-08-12,2015-08-15 23:31:31,5,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-16 10:30:00,1,2015-08-13,2015-08-16 10:32:05,1,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-16 16:30:00,2,2015-08-12,2015-08-16 16:32:01,2,TRUE,NA,NA,NA,NA,NA,NA
1,2015-08-16 18:30:00,3,2015-08-12,2015-08-16 18:32:08,3,FALSE,NA,NA,NA,NA,NA,NA
